ID,Japanese_Text,English_Text,Japanese_Female_Sound,Japanese_Male_Sound
lesson_ja_l1_0,それ、私が言ったことだよ。,That’s what I said.,,
lesson_ja_l1_1,この店、いいと思う。,I reckon this place is good.,,
lesson_ja_l1_2,見るだけ。買わないよ。,Just looking. I’m not buying.,,
lesson_ja_l1_3,誰もいない。まだ来てないんだ。,Nobody’s here. They haven’t come yet.,,
lesson_ja_l1_v0,する,to do; to carry out,,
lesson_ja_l1_v1,ある,"to be, to exist (things)",,
lesson_ja_l1_v2,こと,"a thing, a matter (abstract)",,
lesson_ja_l1_v3,なる,"to become, to turn into",,
lesson_ja_l1_v4,それ,that (near you),,
lesson_ja_l1_v5,いる,"to be, to exist (people, animals)",,
lesson_ja_l1_v6,思う,"to think, to reckon",,
lesson_ja_l1_v7,この,this — before a noun,,
lesson_ja_l1_v8,でも,"but, though",,
lesson_ja_l1_v9,その,that — before a noun,,
lesson_ja_l1_v10,言う,"to say, to tell",,
lesson_ja_l1_v11,ない,not there; there isn’t any,,
lesson_ja_l1_v12,そう,that way; is that so,,
lesson_ja_l1_v13,私,"I, me",,
lesson_ja_l1_v14,これ,this (near me),,
lesson_ja_l1_v15,見る,"to see, to watch, to look at",,
lesson_ja_l1_v16,だけ,"only, just",,
lesson_ja_l1_v17,くる,to come,,
lesson_ja_l1_d0,それ、何？,What’s that?,,
lesson_ja_l1_d1,これ？私が作ったやつ。,This? Something I made.,,
lesson_ja_l1_d2,そう。いいと思うよ。,Huh. I think it’s good.,,
lesson_ja_l1_d3,でも、まだ終わってないんだ。,"It’s not finished yet, though.",,
lesson_ja_l2_0,ちょっと聞いてくれる？,Can you listen a sec?,,
lesson_ja_l2_1,財布、家に忘れちゃった。,I went and left my wallet at home.,,
lesson_ja_l2_2,そんなこと知らないよ。,I don’t know anything about that.,,
lesson_ja_l2_3,駅の前まで行くね。,I’ll go as far as the front of the station.,,
lesson_ja_l2_v0,くれる,to give (to me or mine),,
lesson_ja_l2_v1,やる,to do (casual); to give (downward),,
lesson_ja_l2_v2,まで,"as far as, until",,
lesson_ja_l2_v3,もの,a thing (physical),,
lesson_ja_l2_v4,行く,to go,,
lesson_ja_l2_v5,そんな,that sort of,,
lesson_ja_l2_v6,あの,that over there — before a noun,,
lesson_ja_l2_v7,しまう,to finish; to do something regrettable,,
lesson_ja_l2_v8,人,a person,,
lesson_ja_l2_v9,ここ,here,,
lesson_ja_l2_v10,お,"polite prefix — お茶, お金",,
lesson_ja_l2_v11,自分,"oneself, myself",,
lesson_ja_l2_v12,知る,"to know, to find out",,
lesson_ja_l2_v13,今,now,,
lesson_ja_l2_v14,聞く,to hear; to listen; to ask,,
lesson_ja_l2_v15,何,what,,
lesson_ja_l2_v16,前,in front; before,,
lesson_ja_l2_v17,出る,"to leave, to go out, to come out",,
lesson_ja_l2_d0,今どこ？,Where are you?,,
lesson_ja_l2_d1,もう出たよ。駅まで行く。,Already left. Heading to the station.,,
lesson_ja_l2_d2,あの人も来るって聞いたけど。,I heard that guy’s coming too.,,
lesson_ja_l2_d3,知らない。自分で聞いてよ。,No idea. Ask him yourself.,,
lesson_ja_l3_0,ちょっと考えさせて。,Let me think about it for a sec.,,
lesson_ja_l3_1,その話、また今度ね。,"That story — another time, yeah?",,
lesson_ja_l3_2,荷物、持ってもらえる？,Could you carry the bag for me?,,
lesson_ja_l3_3,声が大きいところが好き。,I like that she’s got a loud voice.,,
lesson_ja_l3_v0,中,inside; among,,
lesson_ja_l3_v1,顔,face,,
lesson_ja_l3_v2,また,again,,
lesson_ja_l3_v3,考える,"to think over, to consider",,
lesson_ja_l3_v4,どう,"how, in what way",,
lesson_ja_l3_v5,ため,for the sake of; because of,,
lesson_ja_l3_v6,まだ,still; not yet,,
lesson_ja_l3_v7,ちょっと,a bit; hang on,,
lesson_ja_l3_v8,できる,to be able to; to be finished,,
lesson_ja_l3_v9,話,"a talk, a story",,
lesson_ja_l3_v10,そこ,there (near you),,
lesson_ja_l3_v11,待つ,to wait,,
lesson_ja_l3_v12,ところ,a place; the point where,,
lesson_ja_l3_v13,たち,plural suffix — 私たち,,
lesson_ja_l3_v14,こんな,this sort of,,
lesson_ja_l3_v15,持つ,"to hold, to carry, to have",,
lesson_ja_l3_v16,声,a voice,,
lesson_ja_l3_v17,もらう,to receive; to get someone to do,,
lesson_ja_l3_d0,ちょっと待って。まだ考えてる。,Hang on. I’m still thinking.,,
lesson_ja_l3_d1,どうする？時間ないよ。,What are you doing? There’s no time.,,
lesson_ja_l3_d2,そこで待っててもらえる？,Could you wait over there for me?,,
lesson_ja_l3_d3,また？こんなの毎回だな。,Again? It’s like this every time.,,
lesson_ja_l4_0,今日は少し早く出る。,I’m leaving a bit early today.,,
lesson_ja_l4_1,ここから海が見えるよ。,You can see the sea from here.,,
lesson_ja_l4_2,それ、本当に使うの？,Are you actually going to use that?,,
lesson_ja_l4_3,言葉が出てこない。,The words won’t come out.,,
lesson_ja_l4_v0,入る,"to enter, to go in",,
lesson_ja_l4_v1,手,hand; arm,,
lesson_ja_l4_v2,見える,to be visible; to look like,,
lesson_ja_l4_v3,方,direction; the ... one,,
lesson_ja_l4_v4,目,eye,,
lesson_ja_l4_v5,男,a man,,
lesson_ja_l4_v6,本当,true; really,,
lesson_ja_l4_v7,あなた,you — used less than you think,,
lesson_ja_l4_v8,今日,today,,
