ID,Japanese_Text,English_Text,Japanese_Female_Sound,Japanese_Male_Sound
word_ja_うん,うん,yeah; uh-huh; mm (agreeing),,
word_ja_だ,だ,is; are (plain copula),,
word_ja_の,の,'s; of (links two nouns); softens a question,,
word_ja_か,か,question marker; or,,
word_ja_ね,ね,right?; isn't it? (seeks agreement),,
word_ja_た,た,past-tense ending: did; was,,
word_ja_で,で,at; in; by means of,,
word_ja_て,て,and then; -ing (links verbs),,
word_ja_と,と,with; and; if,,
word_ja_が,が,marks the subject; but,,
word_ja_は,は,as for; marks the topic,,
word_ja_も,も,too; also; even,,
word_ja_に,に,to; at; in; for,,
word_ja_よ,よ,you know; I'm telling you,,
word_ja_てる,てる,-ing; is doing (short for ている),,
word_ja_って,って,said; called (quoting),,
word_ja_です,です,is; are (polite),,
word_ja_から,から,from; because; since,,
word_ja_はい,はい,yes; here you go; right,,
word_ja_いい,いい,good; fine; OK — よい is the written form,,
word_ja_けれど,けれど,but; though,,
word_ja_な,な,huh; I tell you (soft ending),,
word_ja_を,を,marks the object,,
word_ja_ます,ます,polite verb ending,,
word_ja_もう,もう,already; anymore; soon,,
word_ja_さ,さ,you know (casual ending),,
word_ja_いや,いや,no; nah; ugh,,
word_ja_ちゃう,ちゃう,ends up doing; does by mistake (short for てしまう),,
word_ja_つう,つう,called; like (casual っていう),,
word_ja_ふん,ふん,hmm; uh-huh; hmph,,
word_ja_くらい,くらい,about; roughly; to the extent of,,
word_ja_ん,ん,mm; uh (short for の),,
word_ja_れる,れる,passive/potential ending: is done; can do,,
word_ja_ば,ば,if; when,,
word_ja_し,し,and (listing reasons),,
word_ja_えーと,えーと,um; er; let me see,,
word_ja_たい,たい,want to (verb ending),,
word_ja_け,け,was it? (checking a memory),,
word_ja_ず,ず,without doing; not doing,,
word_ja_んー,んー,hmm; well… (thinking),,
word_ja_ほら,ほら,look; see; there you go,,
word_ja_や,や,and; or (listing),,
word_ja_たり,たり,doing things like; and so on,,
word_ja_えー,えー,uh; er; whaat?,,
word_ja_わ,わ,you know (soft ending),,
word_ja_とく,とく,do in advance (short for ておく),,
word_ja_おお,おお,oh; whoa,,
word_ja_てく,てく,go on doing (short for ていく),,
word_ja_しか,しか,only; nothing but (with a negative),,
word_ja_られる,られる,passive/potential/honorific ending,,
word_ja_辺,辺,area; around here; vicinity,,
word_ja_より,より,than; from,,
word_ja_やばい,やばい,risky; awful — or awesome (slang),,
word_ja_なんか,なんか,like; sort of; something,,
word_ja_せる,せる,make someone do; let someone do,,
word_ja_めちゃ,めちゃ,super; really (casual),,
word_ja_父,父,father (my own),,
word_ja_あー,あー,ah; uhh,,
word_ja_ながら,ながら,while doing,,
word_ja_なんて,なんて,things like; how (dismissive or surprised),,
word_ja_おっ,おっ,oh! (noticing something),,
word_ja_オーケー,オーケー,OK; all right,,
word_ja_ばあちゃん,ばあちゃん,grandma; old lady,,
word_ja_あら,あら,"oh! (mild surprise, softer)",,
word_ja_そちら,そちら,that way; over there; you (polite),,
word_ja_よいしょ,よいしょ,heave-ho (said when lifting or sitting),,
word_ja_語,語,language; word (suffix: 日本語),,
word_ja_茶,茶,tea,,
word_ja_ほう,ほう,oh? huh (impressed),,
word_ja_うわ,うわ,whoa; ugh,,
word_ja_因る,因る,to depend on; to be due to,,
word_ja_バス,バス,bus,,
word_ja_あちら,あちら,that way over there; he/she (polite),,
word_ja_六十,六十,sixty,,
word_ja_うんと,うんと,a lot; way more,,
word_ja_さも,さも,as if; just as though,,
word_ja_仕様,仕様,way of doing; spec,,
word_ja_やん,やん,isn't it? right? (Kansai),,
word_ja_あんな,あんな,that kind of; like that,,
word_ja_へ,へ,to; toward,,
word_ja_ビール,ビール,beer,,
word_ja_爺,爺,old man; grandpa,,
word_ja_要する,要する,to require; to need,,
word_ja_いえ,いえ,no; not at all,,
word_ja_こそ,こそ,precisely; it is … that,,
word_ja_階,階,floor; storey (counter),,
word_ja_二千,二千,two thousand,,
word_ja_わりと,わりと,fairly; relatively,,
word_ja_へん,へん,not (Kansai negative: 行かへん),,
word_ja_八十,八十,eighty,,
word_ja_でかい,でかい,huge; massive (casual),,
word_ja_五百,五百,five hundred,,
word_ja_伯父,伯父,uncle,,
word_ja_たって,たって,even if; even though,,
word_ja_七十,七十,seventy,,
