ID,Japanese_Text,English_Text,Japanese_Female_Sound,Japanese_Male_Sound
lesson_ja_l1_0,今日は暑いね。,"Hot today, isn't it.",,
lesson_ja_l1_1,それ、私のだよ。,That one's mine.,,
lesson_ja_l1_2,もう食べてる。,I'm already eating.,,
lesson_ja_l1_3,何？聞こえなかった。,What? I didn't catch that.,,
lesson_ja_l1_v0,うん,yeah; uh-huh; mm (agreeing),,
lesson_ja_l1_v1,だ,is; are (plain copula),,
lesson_ja_l1_v2,の,'s; of (links two nouns); softens a question,,
lesson_ja_l1_v3,か,question marker; or,,
lesson_ja_l1_v4,ね,right?; isn't it? (seeks agreement),,
lesson_ja_l1_v5,た,past-tense ending: did; was,,
lesson_ja_l1_v6,で,at; in; by means of,,
lesson_ja_l1_v7,て,and then; -ing (links verbs),,
lesson_ja_l1_v8,そう,that way; is that so,,
lesson_ja_l1_v9,と,with; and; if,,
lesson_ja_l1_v10,が,marks the subject; but,,
lesson_ja_l1_v11,は,as for; marks the topic,,
lesson_ja_l1_v12,も,too; also; even,,
lesson_ja_l1_v13,に,to; at; in; for,,
lesson_ja_l1_v14,よ,you know; I'm telling you,,
lesson_ja_l1_v15,てる,-ing; is doing (short for ている),,
lesson_ja_l1_v16,何,what,,
lesson_ja_l1_v17,って,said; called (quoting),,
lesson_ja_l1_d0,何食べてんの？,What are you eating?,,
lesson_ja_l1_d1,うん？これ？パンだよ。,Hm? This? It's bread.,,
lesson_ja_l1_d2,そっか。おいしいの？,Ah. Is it any good?,,
lesson_ja_l1_d3,うん、まあまあだね。,"Yeah, it's alright.",,
lesson_ja_l2_0,これ、いいですね。,This is nice.,,
lesson_ja_l2_1,もう時間ないよ。,There's no time left.,,
lesson_ja_l2_2,疲れたから、帰る。,"I'm tired, so I'm going home.",,
lesson_ja_l2_3,あの、ちょっといいですか。,"Um, do you have a second?",,
lesson_ja_l2_v0,です,is; are (polite),,
lesson_ja_l2_v1,言う,"to say, to tell",,
lesson_ja_l2_v2,から,from; because; since,,
lesson_ja_l2_v3,ない,not there; there isn’t any,,
lesson_ja_l2_v4,する,to do; to carry out,,
lesson_ja_l2_v5,ああ,ah; like that,,
lesson_ja_l2_v6,あっ,oh! — sudden realisation,,
lesson_ja_l2_v7,はい,yes; here you go; right,,
lesson_ja_l2_v8,あの,that over there — before a noun,,
lesson_ja_l2_v9,いい,good; fine; OK — よい is the written form,,
lesson_ja_l2_v10,けれど,but; though,,
lesson_ja_l2_v11,な,huh; I tell you (soft ending),,
lesson_ja_l2_v12,それ,that (near you),,
lesson_ja_l2_v13,ある,"to be, to exist (things)",,
lesson_ja_l2_v14,を,marks the object,,
lesson_ja_l2_v15,ます,polite verb ending,,
lesson_ja_l2_v16,もう,already; anymore; soon,,
lesson_ja_l2_v17,これ,this (near me),,
lesson_ja_l2_d0,すみません、これ、ありますか？,"Excuse me, do you have this?",,
lesson_ja_l2_d1,あっ、はい。ありますよ。,"Oh — yes, we do.",,
lesson_ja_l2_d2,じゃあ、それをください。,"I'll take it, then.",,
lesson_ja_l2_d3,あの、これはもうないんですけど。,"Um, we're actually out of that one.",,
lesson_ja_l3_0,もう行くね。,I'm off.,,
lesson_ja_l3_1,それ、やっちゃった。,Yeah — I went and did that.,,
lesson_ja_l3_2,いいと思うよ。,I reckon it's fine.,,
lesson_ja_l3_3,雨になるみたい。,Looks like it's going to rain.,,
lesson_ja_l3_v0,行く,to go,,
lesson_ja_l3_v1,さ,you know (casual ending),,
lesson_ja_l3_v2,まあ,well…; sort of,,
lesson_ja_l3_v3,やる,to do (casual); to give (downward),,
lesson_ja_l3_v4,思う,"to think, to reckon",,
lesson_ja_l3_v5,なる,"to become, to turn into",,
lesson_ja_l3_v6,くる,to come,,
lesson_ja_l3_v8,いや,no; nah; ugh,,
lesson_ja_l3_v9,こと,"a thing, a matter (abstract)",,
lesson_ja_l3_v10,えっ,eh? — surprise,,
lesson_ja_l3_v11,一,one,,
lesson_ja_l3_v12,ちゃう,ends up doing; does by mistake (short for てしまう),,
lesson_ja_l3_v13,あれ,that over there,,
lesson_ja_l3_v14,みたい,seems like; like a,,
lesson_ja_l3_v15,その,that — before a noun,,
lesson_ja_l3_v16,こう,like this,,
lesson_ja_l3_v17,つう,called; like (casual っていう),,
lesson_ja_l3_d0,明日、行く？,You going tomorrow?,,
lesson_ja_l3_d1,えっ、明日だっけ？,Huh — is it tomorrow?,,
lesson_ja_l3_d2,そう。一緒に行こうと思ってさ。,Yeah. I was thinking we'd go together.,,
lesson_ja_l3_d3,いや、ちょっと無理かも。,"Ah, that might not work for me.",,
lesson_ja_l4_0,今、どこにいるの？,Where are you right now?,,
lesson_ja_l4_1,すごい人だね。,What a crowd.,,
lesson_ja_l4_2,どのくらいかかる？,How long will it take?,,
lesson_ja_l4_3,あ、わかった。,Ah — got it.,,
lesson_ja_l4_v0,すごい,amazing; terrible,,
lesson_ja_l4_v1,人,a person,,
lesson_ja_l4_v2,時,time; when,,
lesson_ja_l4_v3,いる,"to be, to exist (people, animals)",,
lesson_ja_l4_v4,わかる,"to understand, to get it",,
lesson_ja_l4_v5,ええ,yes (soft); huh?,,
lesson_ja_l4_v6,見る,"to see, to watch, to look at",,
lesson_ja_l4_v7,私,"I, me",,
lesson_ja_l4_v8,本当,true; really,,
lesson_ja_l4_v9,今,now,,
lesson_ja_l4_v10,ふん,hmm; uh-huh; hmph,,
lesson_ja_l4_v11,どう,"how, in what way",,
lesson_ja_l4_v12,くらい,about; roughly; to the extent of,,
lesson_ja_l4_v13,二,two,,
lesson_ja_l4_v14,じゃん,ta-dah!; ta-da!; voilà!,,
lesson_ja_l4_v15,この,this — before a noun,,
lesson_ja_l4_v16,やはり,as expected — formal やっぱり,,
lesson_ja_l4_v17,ん,mm; uh (short for の),,
lesson_ja_l4_d0,見て、これ。,Look at this.,,
lesson_ja_l4_d1,えっ、すごいじゃん。,Whoa — that's amazing.,,
lesson_ja_l4_d2,でしょ？二時間かかったの。,Right? It took me two hours.,,
lesson_ja_l4_d3,本当？へえ、わかんないもんだね。,Really? Huh — you'd never know.,,
lesson_ja_l5_0,そんな感じ。,Something like that.,,
lesson_ja_l5_1,三時じゃなくて十時だよ。,"It's ten, not three.",,
lesson_ja_l5_2,これだけでいい。,This much is fine.,,
lesson_ja_l5_3,違うところに置いた。,I put it somewhere else.,,
lesson_ja_l5_v0,方,direction; the ... one,,
lesson_ja_l5_v1,へえ,"oh, yes?; really?",,
lesson_ja_l5_v2,違う,to differ; that’s wrong,,
lesson_ja_l5_v3,ところ,a place; the point where,,
lesson_ja_l5_v4,れる,passive/potential ending: is done; can do,,
lesson_ja_l5_v5,食べる,to eat,,
lesson_ja_l5_v6,ば,if; when,,
lesson_ja_l5_v7,そんな,that sort of,,
lesson_ja_l5_v8,ここ,here,,
lesson_ja_l5_v9,し,and (listing reasons),,
lesson_ja_l5_v10,後,after — as in 後で,,
lesson_ja_l5_v11,十,ten; ten years of age,,
lesson_ja_l5_v12,感じ,"a feeling, an impression",,
lesson_ja_l5_v13,だけ,"only, just",,
lesson_ja_l5_v14,えーと,um; er; let me see,,
lesson_ja_l5_v15,三,three,,
lesson_ja_l5_v16,そこ,there (near you),,
lesson_ja_l5_v17,たい,want to (verb ending),,
lesson_ja_l5_d0,ここでいい？,Is here alright?,,
lesson_ja_l5_d1,うーん、そこの方がいいかも。,Hmm — over there might be better.,,
lesson_ja_l5_d2,えーと、じゃあ後で決めよう。,"Uh, let's decide later then.",,
lesson_ja_l5_d3,だね。とりあえず何か食べたい。,Right. I just want to eat something.,,
lesson_ja_l6_0,これ、結構おいしいね。,"This is pretty good, actually.",,
lesson_ja_l6_1,五時までにできる？,Can you get it done by five?,,
lesson_ja_l6_2,あのやつ、名前なんだっけ。,That guy — what's his name again.,,
lesson_ja_l6_3,ほら、言ったでしょ。,See? I told you.,,
lesson_ja_l6_v0,できる,to be able to; to be finished,,
lesson_ja_l6_v1,俺,"I, me — men, casual",,
lesson_ja_l6_v2,け,was it? (checking a memory),,
lesson_ja_l6_v3,ず,without doing; not doing,,
lesson_ja_l6_v4,出る,"to leave, to go out, to come out",,
lesson_ja_l6_v5,多分,perhaps; probably; generous,,
lesson_ja_l6_v6,入る,"to enter, to go in",,
lesson_ja_l6_v7,もの,a thing (physical),,
lesson_ja_l6_v8,みんな,everyone,,
lesson_ja_l6_v9,やつ,a bloke; a thing — rough,,
lesson_ja_l6_v10,まで,"as far as, until",,
lesson_ja_l6_v11,前,in front; before,,
lesson_ja_l6_v12,んー,hmm; well… (thinking),,
lesson_ja_l6_v13,ほら,look; see; there you go,,
lesson_ja_l6_v14,や,and; or (listing),,
lesson_ja_l6_v15,結構,quite; no thanks,,
lesson_ja_l6_v16,年,a year,,
lesson_ja_l6_v17,おいしい,delicious; tasty; sweet,,
lesson_ja_l6_d0,もう出る？,Heading out already?,,
lesson_ja_l6_d1,んー、多分あと十分くらい。,Mm — maybe another ten minutes.,,
lesson_ja_l6_d2,みんな、もう前に入ってるよ。,Everyone's gone in ahead already.,,
lesson_ja_l6_d3,まじで。じゃあ急ぐわ。,"Seriously. I'll hurry, then.",,
lesson_ja_l7_0,それ、どこで買ったの？,Where did you get that?,,
lesson_ja_l7_1,友達にもらった。,A friend gave it to me.,,
lesson_ja_l7_2,全然大丈夫だよ。,"Honestly, it's completely fine.",,
lesson_ja_l7_3,ちょっと持ってて。,Hold this a sec.,,
lesson_ja_l7_v0,どこ,"where; what place; how much (long, far)",,
lesson_ja_l7_v1,全然,not at all; totally,,
lesson_ja_l7_v2,もらう,to receive; to take; to accept,,
lesson_ja_l7_v3,家,house; residence; dwelling,,
lesson_ja_l7_v4,話,talk; speech; chat,,
lesson_ja_l7_v5,たり,doing things like; and so on,,
lesson_ja_l7_v6,取る,"to take, to pick up",,
lesson_ja_l7_v7,大丈夫,"all right, fine",,
lesson_ja_l7_v8,使う,"to use (a thing, method, etc.); to make use of; to put to use",,
lesson_ja_l7_v9,様,formal name suffix,,
lesson_ja_l7_v10,持つ,to hold (in one's hand); to take; to carry,,
lesson_ja_l7_v11,日,a day; the sun,,
lesson_ja_l7_v12,知る,to be aware of; to know; to be conscious of,,
lesson_ja_l7_v13,こちら,this way; this one; me,,
lesson_ja_l7_v14,入れる,to put in,,
lesson_ja_l7_v15,わけ,"conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause",,
lesson_ja_l7_v16,書く,to write,,
lesson_ja_l7_v17,作る,to make; to produce; to manufacture,,
lesson_ja_l7_d0,あれ、どこ行った？,Where'd that go?,,
lesson_ja_l7_d1,え、机の上に置いたよ。,Huh — I put it on the desk.,,
lesson_ja_l7_d2,ないんだけど。,"It's not there, though.",,
lesson_ja_l7_d3,あー、こっち。カバンに入れた。大丈夫？,Ah — over here. I put it in the bag. All good?,,
lesson_ja_l8_0,これ、いくら？,How much is this?,,
lesson_ja_l8_1,五時間もかかった。,It took five whole hours.,,
lesson_ja_l8_2,ちょっと聞いてもいい？,Can I ask you something?,,
lesson_ja_l8_3,まだ買ってないよ。,I haven't bought it yet.,,
lesson_ja_l8_v0,自分,myself; yourself; oneself,,
lesson_ja_l8_v1,四,four,,
lesson_ja_l8_v2,五,five,,
lesson_ja_l8_v3,ダメ,no good; not serving its purpose; useless,,
lesson_ja_l8_v4,くれる,to give; to let (one) have; to give,,
lesson_ja_l8_v5,まだ,still; as yet; only,,
lesson_ja_l8_v6,はあ,yes; indeed; well,,
lesson_ja_l8_v7,買う,to buy,,
lesson_ja_l8_v8,飲む,to drink,,
lesson_ja_l8_v9,聞く,to hear; to listen (e.g. to music); to ask,,
lesson_ja_l8_v10,回,counter for occurrences; a time; an instance,,
lesson_ja_l8_v11,月,moon; month,,
lesson_ja_l8_v12,先生,teacher; doctor,,
lesson_ja_l8_v13,えー,uh; er; whaat?,,
lesson_ja_l8_v14,あまり,not much — with a negative,,
lesson_ja_l8_v15,また,again; once more; once again,,
lesson_ja_l8_v16,わ,you know (soft ending),,
lesson_ja_l8_v17,時間,time; hour; period,,
lesson_ja_l8_d0,何飲む？,What are you drinking?,,
lesson_ja_l8_d1,うーん、まだ決めてない。,"Mm, haven't decided yet.",,
lesson_ja_l8_d2,じゃあ先生に聞いてみたら？,"Ask the teacher, then?",,
lesson_ja_l8_d3,えー、いいよ。自分で買う。,"Nah, it's fine. I'll get it myself.",,
lesson_ja_l9_0,全部わかった？,Did you get all of it?,,
lesson_ja_l9_1,誰もいなかったよ。,There was nobody there.,,
lesson_ja_l9_2,ありがとう、助かった。,Thanks — that helped.,,
lesson_ja_l9_3,普通でいいよ。,The normal one's fine.,,
lesson_ja_l9_v0,二十,20 years old; twenty,,
lesson_ja_l9_v1,なるほど,"ah, I see",,
lesson_ja_l9_v2,円,yen (Japanese monetary unit); circle,,
lesson_ja_l9_v3,気,"spirit, mind — 気になる, 気をつける",,
lesson_ja_l9_v4,今日,today; this day; these days,,
lesson_ja_l9_v5,とく,do in advance (short for ておく),,
lesson_ja_l9_v6,おお,oh; whoa,,
lesson_ja_l9_v7,中,inside; interior; in,,
lesson_ja_l9_v8,全部,all of it,,
lesson_ja_l9_v9,別,"separate, another",,
lesson_ja_l9_v10,出す,to take out; to get out; to put out,,
lesson_ja_l9_v11,あそこ,over there,,
