ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
slang_câm mồm,câm mồm,shut your mouth,,
slang_cút,cút,get lost / clear off,,
slang_biến,biến,disappear / do one,,
slang_xéo,xéo,clear off — Southern,,
slang_mất dạy,mất dạy,badly brought up — an insult to the whole family,,
slang_đồ mất dạy,đồ mất dạy,you ill-mannered thing,,
slang_khốn nạn,khốn nạn,despicable / rotten to the core,,
slang_đồ khốn,đồ khốn,you bastard,,
slang_súc vật,súc vật,beast / animal — said of a person,,
slang_đồ chó,đồ chó,you dog,,
slang_thằng chó,thằng chó,that dog of a man,,
slang_óc chó,óc chó,"dog-brained — a real insult, very common online",,
slang_già dịch,già dịch,dirty old man,,
slang_biến thái,biến thái,pervert,,
slang_đĩ,đĩ,whore,,
slang_con đĩ,con đĩ,that whore,,
slang_đếch,đếch,"the same job as đéo, softer and more Southern",,
slang_vãi,vãi,“damn / holy” — an intensifier tacked on the end,,
slang_đéo,đéo,“f---ing not” — the Northern negative intensifier,,
slang_vl,vãi lồn,how vãi lồn is written in messages — read it as the full phrase,,
slang_chịch,chịch,to shag — crude but not the f-word,,
slang_đụ,đụ,to f--- — the Southern word,,
slang_địt,địt,to f--- in the North; to FART in the South. Read the note,,
slang_cặc,cặc,dick,,
slang_lồn,lồn,the crudest word for female genitals — the heaviest word here,,
slang_buồi,buồi,dick — more Northern,,
slang_vãi lồn,vãi lồn,the full-strength version of vãi,,
slang_vcl,vãi cả lồn,"vãi cả lồn, written. Stronger again than vl",,
slang_cái lồn,cái lồn,“what the f---” — cái lồn gì đây? STRONG,,
slang_vãi cả lồn,vãi cả lồn,the full form behind vcl. STRONG,,
slang_clm,cái lồn mẹ,"cái lồn mẹ, written. STRONG",,
slang_con mẹ nó,con mẹ nó,"“damn the thing” — a softened family curse, close to “bloody hell”",,
slang_mẹ kiếp,mẹ kiếp,damn it — a set curse nobody hears literally any more,,
slang_tổ cha mày,tổ cha mày,"your ancestors! — Southern, and often affectionate",,
slang_ông đây,ông đây,"“this gentleman” = me — puffed-up, less obscene",,
slang_bà đây,bà đây,the same move from a woman,,
slang_đm,đụ má,"how địt mẹ / đụ má is written. Everywhere online, still the full curse",,
slang_bà nội mày,bà nội mày,your grandmother — used as a curse,,
slang_đồ con hoang,đồ con hoang,"bastard — about parentage, so it cuts deep",,
slang_bố mày,bố mày,“your father” = me — arrogant first person,,
slang_đụ má,đụ má,f--- your mother — the Southern form,,
slang_địt mẹ,địt mẹ,the Northern form of the same curse,,
slang_đụ má mày,đụ má mày,the same aimed squarely at the person,,
slang_con mẹ mày,con mẹ mày,your mother — the curse behind cmm. STRONG,,
slang_cmm,con mẹ mày,"con mẹ mày, written",,
slang_dcm,địt con mẹ,"địt con mẹ, written — the most-typed curse there is",,
slang_địt con mẹ mày,địt con mẹ mày,the full Northern form. STRONG,,
slang_muốn chết hả,muốn chết hả,you asking for it?,,
slang_tao đánh mày,tao đánh mày,I’ll hit you,,
slang_ra ngoài nói chuyện,ra ngoài nói chuyện,take it outside,,
slang_đừng đụng vào tao,đừng đụng vào tao,don’t touch me,,
slang_thích gây sự à,thích gây sự à,"looking for trouble, are you?",,
slang_ngon thì ra đây,ngon thì ra đây,"come out here then, if you’re so tough",,
slang_muốn ăn đấm hả,muốn ăn đấm hả,want a punch?,,
slang_tao chém mày,tao chém mày,"I’ll cut you — a real threat, not banter",,
slang_tao giết mày,tao giết mày,"I’ll kill you — usually empty between friends, not always",,
slangp_16,"Cút đi, đừng phiền tao.",Get lost and stop bothering me.,,
slangp_17,Biến đi cho khuất mắt.,Clear off out of my sight.,,
slangp_21,Đồ mất dạy!,You ill-mannered so-and-so!,,
slangp_22,Thằng đó khốn nạn thiệt.,That bloke really is despicable.,,
slangp_71,Thằng đó óc chó thiệt.,That bloke is a genuine idiot. (STRONG),,
slangp_24,Nói chuyện như cứt.,You’re talking absolute rubbish.,,
slangp_25,Đếch biết luôn.,Haven’t got a clue.,,
slangp_27,Ngon vãi!,Bloody delicious!,,
slangp_26,Đéo hiểu gì hết.,Don’t understand a f---ing thing.,,
slangp_28,Cái điện thoại này đéo xài được.,This phone is f---ing useless.,,
slangp_73,Cái lồn gì vậy trời!,What the f--- is this? (STRONG),,
slangp_74,Ngon vcl!,F---ing delicious. (STRONG in writing),,
slangp_29,"Mẹ kiếp, lại hư nữa.","Damn it, broken again.",,
slangp_30,"Con mẹ nó, quên mất rồi.","Bloody hell, I forgot.",,
slangp_75,"Tổ cha mày, làm tao hết hồn.","You little sod, you scared the life out of me.",,
slangp_76,Bố mày đéo sợ đâu.,I’m not scared of you. (STRONG — “bố mày” is the boast),,
slangp_33,Đừng đụng vào tao.,Don’t you touch me.,,
slangp_79,Mày thích gây sự à?,You looking for trouble?,,
slangp_80,Ngon thì ra đây nói chuyện.,"If you’re so tough, come out here.",,
