ID,Vietnamese_Text,English_Text,Vietnamese_Female_Sound,Vietnamese_Male_Sound
text_ko,không,no / not,,
text_k,không,no / not — the shortest form,,
text_kh,không,no / not — a middle-length form,,
text_hk,không,no / not — Southern spelling,,
text_hông,không,"no / not — the Southern pronunciation, written out",,
text_hem,không,no / not — cute and playful,,
text_dc,được,can / okay,,
text_đc,được,can / okay — with the đ,,
text_r,rồi,already / done,,
text_rùi,rồi,already — spelled soft and friendly,,
text_ch,chưa,not yet,,
text_chx,chưa,not yet — the x stands in for the tone,,
text_j,gì,what,,
text_z,vậy,"so / what — Southern, from the v→y sound",,
text_vs,với,with,,
text_cx,cũng,also / too,,
text_cũg,cũng,also — a typo that stuck,,
text_đg,đang,currently / -ing,,
text_lm,làm,to do / to work,,
text_bt,biết,to know — or “nothing special”,,
text_bik,biết,to know — spelled as it sounds,,
text_lun,luôn,right away / at all,,
text_nx,nữa,more / any more,,
text_ntn,như thế nào,how / what’s it like,,
text_pk,phải không,…right? — the tag question,,
text_vd,ví dụ,for example,,
text_vv,vân vân,etc.,,
text_ukm,ừ,yeah / mm-hm,,
text_m,mày,"you (rough) — or “me”, depending on who is typing",,
text_t,tôi,I / me,,
text_mk,mình,me / I — soft and friendly,,
text_mik,mình,me / I — the other common spelling,,
text_b,bạn,you — neutral and safe,,
text_bn,bạn,you — or “how much”. Context decides,,
text_a,anh,"older brother — “you” to an older man, or “I” from one",,
text_e,em,"younger sibling — “you” to someone younger, or “I” to someone older",,
text_ae,anh em,the lads / mates,,
text_mn,mọi người,everyone,,
text_mng,mọi người,everyone — the other spelling,,
text_ny,người yêu,boyfriend / girlfriend,,
text_nyc,người yêu cũ,an ex,,
text_vk,vợ,wife — also used jokingly between couples,,
text_ck,chồng,"husband — but also “bank transfer”, so read the thread",,
text_nt,nhắn tin,to text,,
text_tl,trả lời,to reply,,
text_rep,trả lời,to reply — straight from English,,
text_ib,nhắn riêng,DM me — from “inbox”,,
text_cmt,bình luận,to comment,,
text_add,kết bạn,to add as a friend,,
text_kb,kết bạn,add friend — or “dunno”. Two different words,,
text_avt,ảnh đại diện,profile picture,,
text_nc,nói chuyện,"to talk, to chat",,
text_đt,điện thoại,phone,,
text_trg,trong,in — or “school”. Context decides,,
text_sn,sinh nhật,birthday,,
text_qt,quan tâm,to care about,,
text_qtr,quan trọng,important,,
text_bg,bây giờ,now,,
text_hnay,hôm nay,today,,
text_hqua,hôm qua,yesterday,,
text_t7,thứ bảy,"Saturday — weekdays go t2 to t7, then cn",,
text_cn,chủ nhật,Sunday,,
