ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
slang_yue_傻仔,傻仔,daft lad — often affectionate,,
slang_yue_傻佬,傻佬,fool / idiot (of a man),,
slang_yue_冇乜點,冇乜點,not much — the standard reply to 點呀,,
slang_yue_冇家教,冇家教,badly brought up — an attack on the parents,,
slang_yue_冇所謂,冇所謂,don’t mind / makes no odds,,
slang_yue_冇用,冇用,useless,,
slang_yue_冇眼睇,冇眼睇,can’t bear to watch,,
slang_yue_冇禮貌,冇禮貌,rude / no manners — completely clean,,
slang_yue_冇符,冇符,nothing you can do about it,,
slang_yue_冇腦,冇腦,no brains,,
slang_yue_咪嘈,咪嘈,keep it down,,
slang_yue_咪玩啦,咪玩啦,pack it in / stop messing about,,
slang_yue_唔使旨意,唔使旨意,don’t count on it,,
slang_yue_唔好嘈,唔好嘈,stop the noise — blunt but clean,,
slang_yue_唔掂,唔掂,not going well / not working out,,
slang_yue_喂,喂,oi / hey — how you get someone’s attention,,
slang_yue_嘈住晒,嘈住晒,you’re making a racket and it’s in the way,,
slang_yue_嘔心,嘔心,sickening / makes you want to throw up,,
slang_yue_執生,執生,to improvise / wing it,,
slang_yue_大鑊,大鑊,big trouble,,
slang_yue_好嘢,好嘢,nice one / well done,,
slang_yue_好正,好正,brilliant / spot on,,
slang_yue_妖,妖,ugh / for goodness sake — a whole curse compressed into one syllable,,
slang_yue_屎,屎,shit,,
slang_yue_屎忽,屎忽,backside / arse,,
slang_yue_屎忽鬼,屎忽鬼,cheeky little sod — softer than it looks,,
slang_yue_廢話,廢話,nonsense / stating the obvious,,
slang_yue_弊,弊,damn / uh-oh,,
slang_yue_慘,慘,rough / miserable,,
slang_yue_慳返啖氣,慳返啖氣,save your breath,,
slang_yue_戇居居,戇居居,playing dumb — the doubling softens 戇居,,
slang_yue_打交,打交,to have a fight / scrap,,
slang_yue_掂,掂,sorted / all good,,
slang_yue_撞板,撞板,to come unstuck / mess it up,,
slang_yue_攰,攰,knackered,,
slang_yue_收嗲啦,收嗲啦,that’s enough talk / wrap it up,,
slang_yue_收檔啦,收檔啦,"shut up shop — give it up, you’re done",,
slang_yue_收聲,收聲,shut up,,
slang_yue_放屁,放屁,to fart; also “talking rubbish”,,
slang_yue_是但,是但,whatever / either will do,,
slang_yue_有型,有型,stylish / cool,,
slang_yue_有排,有排,a long way to go yet,,
slang_yue_核突,核突,disgusting / hideous,,
slang_yue_死啦,死啦,oh no / I’m done for — nothing to do with dying,,
slang_yue_死煩膠,死煩膠,"an exhausting, won’t-drop-it person",,
slang_yue_求其,求其,any old way / not fussed,,
slang_yue_無能,無能,incapable / not up to it,,
slang_yue_玩嘢,玩嘢,to mess about / pull a stunt,,
slang_yue_痴孖筋,痴孖筋,off your rocker — jokier than 黐線,,
slang_yue_發神經,發神經,to go off on one / act unhinged,,
slang_yue_白痴,白痴,idiot,,
slang_yue_矮仔,矮仔,"shortarse — teasing between mates, rude from a stranger",,
slang_yue_神經病,神經病,nutcase / mental,,
slang_yue_笨柒,笨柒,thick as anything,,
slang_yue_笨笨柒,笨笨柒,proper thick — the doubling makes it almost fond,,
slang_yue_老友,老友,mate / old friend,,
slang_yue_臭,臭,stinking,,
slang_yue_蛇王,蛇王,"to skive off (王 shifts wong4→wong2, as it often does in slang)",,
slang_yue_蠢,蠢,stupid,,
slang_yue_行開啲,行開啲,move along / give me room,,
slang_yue_衰人,衰人,rotten so-and-so — can be playful between couples,,
slang_yue_論盡,論盡,clumsy / all fingers and thumbs,,
slang_yue_講廢話,講廢話,to talk rubbish,,
slang_yue_講笑啫,講笑啫,only joking,,
slang_yue_走開,走開,go away,,
slang_yue_躝啦,躝啦,clear off,,
slang_yue_躝遠啲,躝遠啲,get right away from me,,
slang_yue_躝開,躝開,shift / out of the way,,
slang_yue_醒目,醒目,sharp / on the ball,,
slang_yue_隻抽,隻抽,one on one — a challenge to settle it between the two of you,,
slang_yue_頂唔順,頂唔順,can’t stand it any more,,
slang_yue_頭痕,頭痕,a headache / a real problem,,
slang_yue_飛機場,飛機場,flat-chested — lit. “airfield”,,
slang_yue_食懵咗,食懵咗,has taken leave of his senses,,
slang_yue_鹹濕佬,鹹濕佬,dirty old man,,
slang_yue_鹹濕婆,鹹濕婆,the same aimed at a woman,,
slang_yue_麻甩佬,麻甩佬,a coarse bloke / lad-ish man,,
slang_yue_黐線,黐線,mad / off your head — friendly between mates,,
slang_yue_黐線佬,黐線佬,nutter (male),,
slang_yue_黐線婆,黐線婆,nutter (female),,
slang_yue_點呀,點呀,what’s up? / well?,,
slang_yue_點都好,點都好,either way / whatever happens,,
slangp_yue_0,喂，點呀？,Oi — what’s up?,,
slangp_yue_1,你最近點呀？,How’ve you been lately?,,
slangp_yue_10,唔係啩，咁都得？,You’re kidding — that’s allowed?,,
slangp_yue_11,講笑啫，唔好嬲。,Only joking — don’t be cross.,,
slangp_yue_12,唔知點做就執生啦。,"If you don’t know how, just wing it.",,
slangp_yue_13,我今次撞板喇。,I’ve really messed up this time.,,
slangp_yue_14,你咁論盡㗎！,You’re so clumsy!,,
slangp_yue_15,冇眼睇，我唔理喇。,I can’t watch — I’m done with it.,,
slangp_yue_16,你玩嘢呀？,Are you having me on?,,
slangp_yue_17,頂你個肺，又壞咗。,For crying out loud — it’s broken again.,,
slangp_yue_18,慳返啖氣啦，佢唔會聽。,Save your breath — he won’t listen.,,
slangp_yue_19,佢又蛇王喇。,He’s skiving off again.,,
slangp_yue_2,冇乜點，你呢？,Not much — you?,,
