ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
slang_yue_乜𨶙嘢呀,乜撚嘢呀,what the hell is this — 乜嘢 with the infix,,
slang_yue_仆你個街,仆你個街,"an expanded, angrier 仆街",,
slang_yue_仆街,仆街,"bastard / drop dead — said constantly, still a swear",,
slang_yue_仆街仔,仆街仔,little bastard,,
slang_yue_低能,低能,moronic — clinical word used as an insult,,
slang_yue_你仆街,你仆街,you bastard — 仆街 pointed at someone,,
slang_yue_你去死啦,你去死啦,go and die,,
slang_yue_你想死呀,你想死呀,are you asking for it?,,
slang_yue_你老母,你老母,"“your mother” — the short form, no less serious",,
slang_yue_做乜鳩,做乜鳩,what the hell are you doing,,
slang_yue_傻閪,傻閪,the milder-sounding 傻 does not soften this one,,
slang_yue_傻𨶙,傻撚,"daft sod, obscenely put",,
slang_yue_八婆,八婆,cow / bitch — aimed at women,,
slang_yue_冇撚用,冇撚用,bloody useless — 撚 wedged in for force,,
slang_yue_冇閪用,冇閪用,bloody useless — the harshest of the 冇…用 set,,
slang_yue_冇𨶙用,冇撚用,"the same word as 冇撚用, other spelling of lan2",,
slang_yue_冚家剷,冚家剷,"the same curse as 冚家鏟, other spelling",,
slang_yue_冚家富貴,冚家富貴,"“may your whole family prosper” — said sarcastically, it means the opposite",,
slang_yue_冚家鈴,冚家鈴,a softened-sounding variant of the same family curse,,
slang_yue_冚家鏟,冚家鏟,may your whole family be wiped out,,
slang_yue_出去講,出去講,take it outside,,
slang_yue_含柒,含柒,"suck it — used as an insult, not an instruction",,
slang_yue_含𨶙,含撚,the same with lan2,,
slang_yue_唔好惹我,唔好惹我,don’t start with me,,
slang_yue_唔𨳒你,唔屌你,"“not doing that with you” — refusal, said as a joke between men",,
slang_yue_大波妹,大波妹,"busty girl — leering, said about a woman not to her",,
slang_yue_契弟,契弟,bastard — old-fashioned and still cutting,,
slang_yue_好撚煩,好撚煩,bloody annoying — same infix pattern,,
slang_yue_屌,屌,"the big one, “f---”. The root of most hard swearing",,
slang_yue_屌你,屌你,f--- you,,
slang_yue_屌你老母,屌你老母,the worst thing you can say to someone in Cantonese,,
slang_yue_屎眼,屎眼,arsehole (the body part),,
slang_yue_廢柴,廢柴,waster / deadweight,,
slang_yue_廢青,廢青,"useless youth — pointed, and politically loaded in HK",,
slang_yue_戇居,戇居,thick / dense,,
slang_yue_戇閪,戇閪,thick and offensive with it,,
slang_yue_戇𨶙鳩,戇撚鳩,two swear syllables in one insult,,
slang_yue_戇鳩,戇鳩,thick as anything — contains a swear syllable,,
slang_yue_我想𨳒你,我想屌你,"I want to shag you — crude, not affectionate",,
slang_yue_我打死你,我打死你,I’ll batter you — often an empty threat between mates,,
slang_yue_扑嘢,扑嘢,"to have sex — casual, the everyday way to say it",,
slang_yue_扑女,扑女,"to pull / sleep around, said of a man",,
slang_yue_打柒佢,打柒佢,give him a hiding,,
slang_yue_打賓周,打賓周,"to wank, using the childish word",,
slang_yue_打飛機,打飛機,to wank — lit. “to shoot down a plane”,,
slang_yue_打鳩你,打鳩你,I’ll knock you out,,
slang_yue_扯旗,扯旗,to get an erection — lit. “to raise the flag”,,
slang_yue_把𨶙,把撚,like hell / no chance — an exclamation of refusal,,
slang_yue_撚,撚,"a male-anatomy swear, used as an emphasis infix",,
slang_yue_撚樣,撚樣,stupid-looking sod — contains a swear syllable,,
slang_yue_撲街,撲街,"the same word, the other common spelling",,
slang_yue_收皮,收皮,pack it in / give it up,,
slang_yue_有爺生冇乸教,有爺生冇乸教,"“a father to bear you, no mother to raise you” — attacks the upbringing",,
slang_yue_有𨶙用,有撚用,same again with the other swear syllable,,
slang_yue_有鳩用,有鳩用,what bloody use is that,,
slang_yue_柒,柒,the mildest of the five; 好柒 = pathetic,,
slang_yue_柒頭,柒頭,idiot — contains a swear syllable,,
slang_yue_柒頭柒腦,柒頭柒腦,thick from head to toe,,
slang_yue_條女濕哂,條女濕哂,crude line about a woman being aroused,,
slang_yue_死二五仔,死二五仔,grass / snitch — the worst thing to be called in triad slang,,
slang_yue_死仆街,死仆街,"the intensified 仆街, aimed at a person",,
slang_yue_死八婆,死八婆,and again with 死 — the two intensifiers are interchangeable,,
slang_yue_死咗佢啦,死咗佢啦,"let him drop dead — said about someone, not to them",,
slang_yue_死廢柴,死廢柴,useless waster,,
slang_yue_死肥佬,死肥佬,fat bastard,,
slang_yue_死蠢,死蠢,stupid idiot,,
slang_yue_死蠢才,死蠢才,"the longer, more theatrical version",,
slang_yue_死開,死開,piss off,,
slang_yue_死閪,死閪,a hard insult to a woman,,
slang_yue_無能𨶙,無能撚,"useless, with a swear wedged on the end",,
slang_yue_狗閪,狗閪,with 狗 (dog) on the front,,
slang_yue_玩𨶙完,玩撚完,well and truly finished,,
slang_yue_畜生都不如,畜生都不如,lower than an animal,,
slang_yue_痴𨶙線,痴撚線,黐線 with the infix — properly off your head,,
slang_yue_硬膠,硬膠,"idiot — internet-born, now said out loud",,
slang_yue_碌柒,碌柒,cock — 碌 is the classifier for long things,,
slang_yue_碌柒好長,碌柒好長,"a boast, and a set-up line in jokes",,
slang_yue_老屎忽,老屎忽,an old-timer who throws his weight around,,
slang_yue_老閪,老閪,the same aimed at an older woman,,
slang_yue_肥閪,肥閪,and again about her weight,,
slang_yue_臭八婆,臭八婆,the same with 臭 (stinking) on the front,,
slang_yue_臭廢閪,臭廢閪,stacked up further again,,
slang_yue_臭閪,臭閪,the commonest of the 閪 insults,,
slang_yue_行𨶙開,行撚開,get out of the bloody way — 行開 with a swear wedged in,,
slang_yue_講乜鳩,講乜鳩,what the hell are you on about,,
slang_yue_豬扒,豬扒,ugly woman — lit. “pork chop”. Cruel and common,,
slang_yue_豬閪,豬閪,with 豬 (pig) instead,,
slang_yue_豬𨶙到,豬撚到,unbelievably thick,,
slang_yue_賓周,賓周,"willy — the childish word, which is why it turns up in jokes",,
slang_yue_賤種,賤種,scum — 種 (breed) makes it about what you come from,,
slang_yue_賤精,賤精,a nasty piece of work,,
slang_yue_賤雞,賤雞,the insulting form,,
slang_yue_賴閪,賴閪,"oral sex, crudely",,
slang_yue_𨳒,屌,the f-word — the other spelling of 屌,,
slang_yue_𨳒你,屌你,f--- you,,
slang_yue_𨳒你仆街,屌你仆街,two separate curses stacked,,
