ID,Cantonese_Text,English_Text,Cantonese_Female_Sound,Cantonese_Male_Sound
cphrase_yue_389,佢係咪專登唔覆我？,Is he not replying to me on purpose?,,
cphrase_yue_390,難講。一時時㗎咋，唔好諗咁多。,Hard to say. It comes and goes — don’t read into it.,,
cphrase_yue_391,好在我冇貿貿然打去鬧佢。,Just as well I didn’t ring up and have a go at him.,,
cphrase_yue_392,卒之都係要傾。事關唔講清楚，件事唔會完。,You’ll have to talk in the end. Because until it’s said out loud it isn’t finished.,,
cphrase_yue_393,頭先個細路仔喺門口做乜？,What was that kid doing at the door earlier?,,
cphrase_yue_394,揾佢阿爸。個主人家出咗街。,Looking for his dad. The owner’s gone out.,,
cphrase_yue_395,噉你叫佢等啦，唔好周圍走。,Tell him to wait then — don’t let him wander off.,,
cphrase_yue_396,知喇。我叫咗隔籬個老人家睇住佢。,Alright. I’ve asked the old boy next door to keep an eye on him.,,
cphrase_yue_397,你要咩飲品？凍檸茶定鴛鴦？,What are you drinking — iced lemon tea or a yuenyeung?,,
cphrase_yue_398,鴛鴦。夜晚飲都瞓得着。,Yuenyeung. I can still sleep after one at night.,,
cphrase_yue_399,食咩餸？佢哋個鐵板牛扒幾好。,What are you eating? Their sizzling steak is decent.,,
cphrase_yue_400,好呀。哩間嘢好味道，就係貴咗少少。,Go on then. The food here’s good — just a bit dear.,,
cphrase_yue_401,你今日幾點放工？,What time do you knock off today?,,
cphrase_yue_402,六點。陣間仲要幫手搬啲貨。,Six. I’ve still got to help shift the stock in a bit.,,
cphrase_yue_403,記住預早同阿曉講，唔好臨尾先。,"Remember to tell Ling ahead of time, not at the last minute.",,
cphrase_yue_404,知喇。上次遲到係我唔啱。,I know. Being late last time was my fault.,,
lesson_yue_l1_v15,係囖,"(particle — ""obviously"", ""that’s just how it is"")",,
lesson_yue_l100_0,今晚食咩餸？我去街市買。,What are we having tonight? I’ll go to the market.,,
lesson_yue_l100_1,佢唔飲酒，唔食煙，好健康。,He doesn’t drink or smoke — very healthy.,,
lesson_yue_l100_2,哩度啲食品全部都寫住日期。,Everything packaged here has the date on it.,,
lesson_yue_l100_3,自助餐一個人三百蚊，唔算貴。,The buffet’s three hundred a head — not bad.,,
lesson_yue_l100_4,我唔食得辣，唔好叫酸辣湯。,I can’t take spice — don’t order the hot and sour soup.,,
lesson_yue_l100_5,佢個口味好淡，煮咩都少鹽。,Her taste runs bland — she puts little salt in anything.,,
lesson_yue_l100_6,間餐館唔錯，不過要早啲訂枱。,"That restaurant’s not bad, but you have to book early.",,
lesson_yue_l100_7,落多啲菜，唔好淨係食肉。,Put more veg in — don’t just eat meat.,,
lesson_yue_l100_8,一盒維他，同埋一杯梳打水。,"One Vita, and a soda water.",,
lesson_yue_l100_9,菜牌寫檸檬茶，但係人人都叫檸茶。,The menu says 檸檬茶 but everyone orders 檸茶.,,
lesson_yue_l100_v0,口味,"a taste, what someone likes",,
lesson_yue_l100_v1,好味道,"tasty, good flavour",,
lesson_yue_l100_v10,菜,vegetables; a dish,,
lesson_yue_l100_v11,酒,"alcohol, a drink",,
lesson_yue_l100_v12,酸辣湯,hot and sour soup,,
lesson_yue_l100_v13,鐵板,a sizzling iron plate,,
lesson_yue_l100_v14,食品,"foodstuffs, packaged food",,
lesson_yue_l100_v15,餐館,a restaurant — slightly formal,,
lesson_yue_l100_v16,餸,the dish you eat with rice,,
lesson_yue_l100_v17,鴛鴦,coffee mixed with milk tea,,
lesson_yue_l100_v2,梳打,soda — from the English,,
lesson_yue_l100_v3,檸檬茶,"lemon tea, written out in full",,
lesson_yue_l100_v4,檸茶,lemon tea — what you actually order,,
lesson_yue_l100_v5,煙,a cigarette; smoke,,
lesson_yue_l100_v6,牛扒,a steak,,
lesson_yue_l100_v7,維他,Vita — the drinks brand,,
lesson_yue_l100_v8,自助餐,a buffet,,
lesson_yue_l100_v9,茶餐廳,a cha chaan teng,,
lesson_yue_l101_0,佢朝朝七點就返到，冇遲到過。,He’s in at seven every morning — never once late.,,
lesson_yue_l101_1,間鋪執咗笠，聽講係捱唔住租金先倒閉。,The shop’s shut for good — they say the rent finished it off.,,
lesson_yue_l101_2,佢啱啱做咗兩年，年資唔算深。,He’s only two years in — not much seniority.,,
lesson_yue_l101_3,大班話高層想加人，未定實。,The gaffer says upper management want more staff — nothing settled yet.,,
lesson_yue_l101_4,佢做暑期工賺錢交學費。,She does a summer job to earn her tuition.,,
lesson_yue_l101_5,開學之後就冇時間做嘢喇。,Once term starts there’s no time to work.,,
lesson_yue_l101_6,對上嗰個學期佢做得幾好。,He did quite well the term before.,,
lesson_yue_l101_7,佢月入唔算高，但係夠使。,"His monthly income isn’t high, but it’s enough.",,
lesson_yue_l101_8,哩份工佢勝任唔到，太多嘢要記。,He isn’t up to this job — too much to keep track of.,,
lesson_yue_l101_v0,倒閉,"to go under, to fold",,
lesson_yue_l101_v1,勝任,to be up to the job,,
lesson_yue_l101_v10,朝朝,every morning,,
