language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
en,1,the,"Used before a noun phrase, including a simple noun; The definite grammatical article that shows that the noun phrase that immediately follows it is definitely identifiable; ...because it has already been mentioned, is to be completely specified in the same sentence, or very shortly thereafter; ...because it is presumed to be definitely known in context or from shared knowledge",the,,39605,per_million_rounded,Det,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,1,https://ucrel.lancs.ac.uk/bncfreq/,the,identity,identity,,the,wiktionary_definition,https://kaikki.org/dictionary/English/
en,2,I,"Alternative letter-case form of I; The speaker or writer, referred to as the grammatical subject, of a sentence; The speaker or writer, referred to as the grammatical object, of a sentence",I,,29448,per_million_rounded,Pron,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,2,https://ucrel.lancs.ac.uk/bncfreq/,I,identity,identity,,I,wiktionary_definition,https://kaikki.org/dictionary/English/
en,3,you,"The people spoken, or written to, as an object; (To) yourselves, (to) yourself; The person spoken to or written to, as an object. (Replacing thee; originally as a mark of respect.); The people spoken to or written to, as a subject. (Replacing ye.)",you,,25957,per_million_rounded,Pron,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,3,https://ucrel.lancs.ac.uk/bncfreq/,you,identity,identity,,you,wiktionary_definition,https://kaikki.org/dictionary/English/
en,4,and,"As a coordinating conjunction; expressing two elements to be taken together or in addition to each other; Used simply to connect two noun phrases, adjectives or adverbs; Simply connecting two clauses or sentences; Introducing a clause or sentence which follows on in time or consequence from the first",and,,25210,per_million_rounded,Conj,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,4,https://ucrel.lancs.ac.uk/bncfreq/,and,identity,identity,,and,wiktionary_definition,https://kaikki.org/dictionary/English/
en,5,it,"The third-person singular neuter personal pronoun used to refer to an inanimate object, abstract entity, or non-human living thing; A third-person singular personal pronoun used to refer to a baby or child, especially of unknown gender; A third-person singular pronoun used to refer to an unspecified person; An affectionate third-person singular personal pronoun",it,,24508,per_million_rounded,Pron,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,5,https://ucrel.lancs.ac.uk/bncfreq/,it,identity,identity,,it,wiktionary_definition,https://kaikki.org/dictionary/English/
en,6,to,"A particle used for marking the following verb as an infinitive; As above, with the verb implied; Used to indicate an obligation on the part of, or a directive given to, the subject; A filler word common amongst urban Indians",to,,21862,per_million_rounded,Inf | Prep,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,8,https://ucrel.lancs.ac.uk/bncfreq/,to,identity,identity,,to,wiktionary_definition,https://kaikki.org/dictionary/English/
en,7,that,"Introducing a clause that is the object of a verb, especially a reporting verb or verb expressing belief, knowledge, perception, etc; Introducing a clause that is the subject of a verb, especially the 'be' verb or a verb expressing judgement, opinion, etc; As delayed subject; As direct subject",that,,21648,per_million_rounded,Adv | Conj | DetP,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,10,https://ucrel.lancs.ac.uk/bncfreq/,that,identity,identity,,that,wiktionary_definition,https://kaikki.org/dictionary/English/
en,8,'s,,'s,,19283,per_million_rounded,Gen | Verb,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,7,https://ucrel.lancs.ac.uk/bncfreq/,'s,identity,identity,,,,
en,9,a,"An unspecified example of (something); the indefinite article; One; used before score, dozen, hundred, thousand, million, etc; Used in some phrases denoting quantity, such as a few, a good many, a couple, a little, a bit, etc; Used before a numeral",a,,18637,per_million_rounded,Det,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,6,https://ucrel.lancs.ac.uk/bncfreq/,a,identity,identity,,a,wiktionary_definition,https://kaikki.org/dictionary/English/
en,10,of,"Expressing distance or motion; From (a place); off; Since, from (a given time, earlier state etc.); From, away from (a position, number, distance etc.)",of,,14712,per_million_rounded,Prep | Verb,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,9,https://ucrel.lancs.ac.uk/bncfreq/,of,identity,identity,,of,wiktionary_definition,https://kaikki.org/dictionary/English/
en,11,in,"Used to indicate location, inclusion, or position within spatial, temporal or abstract limits; Contained by; inside; Within the bounds or limits of; Surrounded by; among; amidst",in,,12916,per_million_rounded,Adv | Prep,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,12,https://ucrel.lancs.ac.uk/bncfreq/,in,identity,identity,,in,wiktionary_definition,https://kaikki.org/dictionary/English/
en,12,n't,not,n't,,12212,per_million_rounded,Neg,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,11,https://ucrel.lancs.ac.uk/bncfreq/,n't,identity,identity,,n't,wiktionary_definition,https://kaikki.org/dictionary/English/
en,13,we,"Two or more people including or consisting of the speaker(s)/writer(s); Excluding the person(s) being addressed. (This is the exclusive we.); Including the person(s) being addressed. (This is the inclusive we.); The institution which the speaker/writer is acting for. (This is the editorial we, used by writers and others when speaking with the authority of their publication or organisation.)",we,,10448,per_million_rounded,Pron,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,13,https://ucrel.lancs.ac.uk/bncfreq/,we,identity,identity,,we,wiktionary_definition,https://kaikki.org/dictionary/English/
en,14,is,"have the quality of being; (copula, used with an adjective or a predicate noun); be identical to; be someone or something; occupy a certain position or area; be somewhere",is,,10164,per_million_rounded,Verb,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,14,https://ucrel.lancs.ac.uk/bncfreq/,is,identity,identity,,be,wordnet_definition,https://wordnet.princeton.edu/
en,15,do,engage in; carry out or perform an action; get (something) done,do,,9594,per_million_rounded,Verb,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,15,https://ucrel.lancs.ac.uk/bncfreq/,do,identity,identity,,do,wordnet_definition,https://wordnet.princeton.edu/
en,16,they,"A group of entities previously mentioned; A single person, previously mentioned, whose gender is unknown, irrelevant, or (since late 20th c.) non-binary; People; some people; people in general; someone, excluding the speaker; The authorities, the (power) elites, the powers that be, the establishment, the man, the system: government, police, employers, etc",they,,9333,per_million_rounded,Pron,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,16,https://ucrel.lancs.ac.uk/bncfreq/,they,identity,identity,,they,wiktionary_definition,https://kaikki.org/dictionary/English/
en,17,er,Said when hesitating in speech,er,,8542,per_million_rounded,Uncl,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,17,https://ucrel.lancs.ac.uk/bncfreq/,er,identity,identity,,er,wiktionary_definition,https://kaikki.org/dictionary/English/
en,18,was,"have the quality of being; (copula, used with an adjective or a predicate noun); be identical to; be someone or something; occupy a certain position or area; be somewhere",was,,8097,per_million_rounded,Verb,,,https://ucrel.lancs.ac.uk/bncfreq/lists/2_2_spokenvwritten.txt,bnc_spoken_wfwse_2_2,measured_spoken,500,word_form,18,https://ucrel.lancs.ac.uk/bncfreq/,was,identity,identity,,be,wordnet_definition,https://wordnet.princeton.edu/
