language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
ko,1,이,"two; one-hundredth, 10⁻²","two; one-hundredth, 10⁻²",,1745337,count,IC | MAG | MMD | NNB | NNG | NP | NR | VA | VCP | VV,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,1,https://github.com/jinseo0904/korean_frequency,이다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,이다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,2,하,"to do; used to vaguely refer to almost any action, in particular; to do; used to vaguely refer to almost any action, in particular:; to prepare, to make (food, clothes, etc.); to make a certain facial expression","to do; used to vaguely refer to almost any action, in particular; to do; used to vaguely refer to almost any action, in particular:; to prepare, to make (food, clothes, etc.); to make a certain facial expression",,1386849,count,IC | MAG | NNB | NNG | VA | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,10,https://github.com/jinseo0904/korean_frequency,하다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,하다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,3,거,"contraction of 그것 (geugeot, “that, that thing”); contraction of 거기 (geogi, “there”); alternative form of 것 (geot, “thing”)","contraction of 그것 (geugeot, “that, that thing”); contraction of 거기 (geogi, “there”); alternative form of 것 (geot, “thing”)",,1206274,count,IC | MAG | NNB | NNG | NP | VA | VV,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,6,https://github.com/jinseo0904/korean_frequency,거,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Korean/,거,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,4,있,"to stay, remain in a location; to keep working for a company; to stay in a certain state; for time to pass","to stay, remain in a location; to keep working for a company; to stay in a certain state; for time to pass",,915921,count,VA | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,predicate_stem,17,https://github.com/jinseo0904/korean_frequency,있다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,있다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,5,나,"I, me; the first-person singular plain (non-polite) pronoun; to be born; to appear, arise, occur, take place; to break out, come out, turn out","I, me; the first-person singular plain (non-polite) pronoun; to be born; to appear, arise, occur, take place; to break out, come out, turn out",,750103,count,IC | MAG | NNG | NP | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,23,https://github.com/jinseo0904/korean_frequency,나다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,나다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,6,보,"to see, to look at, to watch (to perceive with the eyes); to look after (a baby, child, house, etc.); to try, to examine (before the meal or purchase); to experience","to see, to look at, to watch (to perceive with the eyes); to look after (a baby, child, house, etc.); to try, to examine (before the meal or purchase); to experience",,649875,count,NNB | NNG | NR | VA | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,45,https://github.com/jinseo0904/korean_frequency,보다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,보다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,7,되,"to become; to come, to arrive; to be permissible; to be OK; may; to be... -ed; follows nouns and nominals to form passive verbs. The noun functions as the -이 (-i) / -가 (-ga)-complement of the verb. When there is no particle in between, the construction is written without spaces","to become; to come, to arrive; to be permissible; to be OK; may; to be... -ed; follows nouns and nominals to form passive verbs. The noun functions as the -이 (-i) / -가 (-ga)-complement of the verb. When there is no particle in between, the construction is written without spaces",,587702,count,NNB | VA | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,24,https://github.com/jinseo0904/korean_frequency,되다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,되다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,8,가,"to go; Marks a continuous action that either stretches from the present into the future, or involves physical movement away from the speaker; to appear; to pass","to go; Marks a continuous action that either stretches from the present into the future, or involves physical movement away from the speaker; to appear; to pass",,512141,count,MAG | NNB | NNG | NR | VV | VX,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,29,https://github.com/jinseo0904/korean_frequency,가다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,가다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,9,그렇,"to be thus, in that way; to be correct","to be thus, in that way; to be correct",,436608,count,VA | VV,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,predicate_stem,30,https://github.com/jinseo0904/korean_frequency,그렇다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,그렇다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
ko,10,안,"to hug, to embrace; to take on (a debt, responsibility, etc.); not; inside","to hug, to embrace; to take on (a debt, responsibility, etc.); not; inside",,423763,count,MAG | NNG | NR | VV,,,https://github.com/jinseo0904/korean_frequency/blob/main/final_word_frequency/all_speakers_frequency_counts_final.csv,kofren_all_speakers,measured_spoken,500,lexical_morpheme | predicate_stem,33,https://github.com/jinseo0904/korean_frequency,안다,wiktionary_dictionary_stem,dictionary_gloss,https://kaikki.org/dictionary/Korean/,안다,source_dictionary_gloss,https://kaikki.org/dictionary/Korean/
