language,number_value,number_category,target_form,english_meaning,number_system,variant,included_in_ranked_csv,main_rank,source_rank,surface_frequency,frequency_unit,numeral_specific_frequency,numeral_specific_unit,source_quality,source_id,frequency_interpretation,note
vi,0,basic,không,zero,standard,canonical,true,1,1,738343,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,1,basic,một,one,standard,canonical,false,,7329,186,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,2,basic,hai,two,standard,canonical,true,3853,3853,632,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,3,basic,ba,three,standard,canonical,true,1443,1443,2755,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,4,basic,bốn,four,standard,canonical,false,,5299,356,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,4,basic,tư,four,standard,contextual variant,true,2515,2515,1233,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,5,basic,năm,five,standard,canonical,true,64,64,107097,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,6,basic,sáu,six,standard,canonical,true,3920,3920,612,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,7,basic,bảy,seven,standard,canonical,true,3344,3344,783,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,8,basic,tám,eight,standard,canonical,true,3955,3955,600,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,9,basic,chín,nine,standard,canonical,true,2302,2302,1413,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,10,basic,mười,ten,standard,canonical,false,,5575,326,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,100,scale,trăm,hundred,standard,canonical,false,,9962,88,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,1000,scale,nghìn,thousand,standard,canonical,true,3580,3580,704,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,1000,scale,ngàn,thousand,standard,regional variant,false,,6262,259,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,1000000,scale,triệu,million,standard,canonical,false,,6472,243,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
vi,1000000000,scale,tỷ,billion,standard,canonical,true,1110,1110,3840,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,
vi,1000000000,scale,tỉ,billion,standard,spelling variant,false,,,,count,,,estimated,vn_freqs_mixed,Mixed Leipzig text and OpenSubtitles counts; not an actual-speech frequency.,Not listed or observed in the retained source; frequency unavailable.
cmn,0,basic,零,zero,standard,canonical,true,3002,4058,1639,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,1,basic,一,one,standard,canonical,true,139,158,59154,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,2,basic,二,two,standard,canonical,true,784,1000,7751,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,2,basic,两,two,standard,classifier-context form,true,1325,1703,4345,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,3,basic,三,three,standard,canonical,true,667,849,9565,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,4,basic,四,four,standard,canonical,true,1360,1754,4182,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,5,basic,五,five,standard,canonical,true,1542,1999,3629,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,6,basic,六,six,standard,canonical,true,2134,2812,2485,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,7,basic,七,seven,standard,canonical,true,2289,3044,2269,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,8,basic,八,eight,standard,canonical,true,2723,3655,1842,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,9,basic,九,nine,standard,canonical,true,3022,4088,1624,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,10,basic,十,ten,standard,canonical,true,3313,4521,1452,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,100,scale,百,hundred,standard,canonical,false,,14161,354,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,Attested in the source but outside the main ranked CSV cutoff/filter.
cmn,1000,scale,千,thousand,standard,canonical,true,3952,5441,1167,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,10000,scale,万,ten thousand,standard,canonical,true,1044,1323,5808,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
cmn,100000000,scale,亿,hundred million,standard,canonical,true,3703,5100,1261,count,,,media_proxy,frequencywords_2018_zh_cn,OpenSubtitles count; not an actual-speech frequency.,
yue,0,basic,零,zero,standard,canonical,true,376,376,26,count,26,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,1,basic,一,one,standard,canonical,true,23,23,775,count,763,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
yue,2,basic,二,two,standard,canonical,true,689,689,10,count,9,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
yue,2,basic,兩,two,standard,classifier-context form,true,91,91,207,count,207,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,3,basic,三,three,standard,canonical,true,151,151,90,count,89,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
yue,4,basic,四,four,standard,canonical,true,260,260,42,count,42,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,5,basic,五,five,standard,canonical,true,291,291,35,count,35,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,6,basic,六,six,standard,canonical,true,379,379,25,count,25,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,
yue,7,basic,七,seven,standard,canonical,true,297,297,34,count,33,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
yue,8,basic,八,eight,standard,canonical,true,335,335,29,count,27,count,measured_spoken,hkcancor_spontaneous_conversation,Observed in the selected spontaneous-conversation transcripts; radio excluded.,Surface frequency pools non-number homographs; use numeral_specific_frequency for the number sense.
