language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
vi,1,không,zero,zero,,738343,count,"adjective, adverb, conjunction, interjection, noun, numeral, particle",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,1,https://github.com/tabidots/vn-freqs,không,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,không,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,2,là,Used to indicate something is bound to happen whenever an event occurs; Used to form a reduplicative phrase for emphasizing effect; to be; to iron,Used to indicate something is bound to happen whenever an event occurs; Used to form a reduplicative phrase for emphasizing effect; to be; to iron,,688451,count,"conjunction, noun, particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,2,https://github.com/tabidots/vn-freqs,là,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,là,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,3,tôi,"I/me (used by someone with status equal or higher than his or her conversational partner, but doesn't want to sound too intimate to them); I/me (used when talking to one's friends); I/me (used in formal contexts, regardless of the difference in status between the speakers); I/me (used by a man to a woman he loves)","I/me (used by someone with status equal or higher than his or her conversational partner, but doesn't want to sound too intimate to them); I/me (used when talking to one's friends); I/me (used in formal contexts, regardless of the difference in status between the speakers); I/me (used by a man to a woman he loves)",,675054,count,"pronoun, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,3,https://github.com/tabidots/vn-freqs,tôi,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,tôi,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,4,có,"to have, to possess; there be; do, does, did; do","to have, to possess; there be; do, does, did; do",,542427,count,"adjective, adverb, interjection, noun, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,4,https://github.com/tabidots/vn-freqs,có,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,có,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,5,của,property; belongings; given kind of food; such trash; such a good-for-nothing,property; belongings; given kind of food; such trash; such a good-for-nothing,,542372,count,"noun, preposition",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,5,https://github.com/tabidots/vn-freqs,của,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,của,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,6,và,and; to shovel food from a rice bowl into one's mouth using a pair of chopsticks,and; to shovel food from a rice bowl into one's mouth using a pair of chopsticks,,533804,count,"conjunction, determiner, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,6,https://github.com/tabidots/vn-freqs,và,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,và,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,7,anh,"I/me, a male who's (presumably) slightly older than you, or still young enough relative to you to be your older brother; I/me, your male cousin who's descended from an ancestor who is/was an older sibling to yours or your spouse's; I/me, your boyfriend older than you; I/me, your husband","I/me, a male who's (presumably) slightly older than you, or still young enough relative to you to be your older brother; I/me, your male cousin who's descended from an ancestor who is/was an older sibling to yours or your spouse's; I/me, your boyfriend older than you; I/me, your husband",,470525,count,"noun, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,7,https://github.com/tabidots/vn-freqs,anh,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,anh,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,8,được,"particle that expresses ability, possibility; to gain, to win; to obtain, to get (passively); to be (used to form passive tense, positive outcome); to benefit from (an action)","particle that expresses ability, possibility; to gain, to win; to obtain, to get (passively); to be (used to form passive tense, positive outcome); to benefit from (an action)",,415223,count,"interjection, particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,8,https://github.com/tabidots/vn-freqs,được,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,được,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,9,đã,"having completed this action, perfect aspect; having reached this state; indicates an action has been initiated; irrealis, used in a statement that did not come about due to a condition not being met","having completed this action, perfect aspect; having reached this state; indicates an action has been initiated; irrealis, used in a statement that did not come about due to a condition not being met",,381420,count,"particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,9,https://github.com/tabidots/vn-freqs,đã,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,đã,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,10,cho,Used to emphasize để; Dative marker; to give; to let; to make; to cause,Used to emphasize để; Dative marker; to give; to let; to make; to cause,,344820,count,"particle, preposition, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,10,https://github.com/tabidots/vn-freqs,cho,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,cho,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,11,sẽ,marks the future tense; marks a desire or a hypothetical,marks the future tense; marks a desire or a hypothetical,,313264,count,particle,,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,11,https://github.com/tabidots/vn-freqs,sẽ,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,sẽ,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,12,đó,that place over there; that person/thing over there; that idea/notion I/we've just described/discussed; emphasizes a quality that the listener may not have known; you see?; I'm telling you,that place over there; that person/thing over there; that idea/notion I/we've just described/discussed; emphasizes a quality that the listener may not have known; you see?; I'm telling you,,313150,count,"noun, particle, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,12,https://github.com/tabidots/vn-freqs,đó,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,đó,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,13,các,"to pay the difference, to give in compensation","to pay the difference, to give in compensation",,303538,count,"determiner, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,13,https://github.com/tabidots/vn-freqs,các,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,các,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,14,người,you; he/him; she/her; person; people; physical state; body,you; he/him; she/her; person; people; physical state; body,,300214,count,"classifier, noun, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,14,https://github.com/tabidots/vn-freqs,người,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,người,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,15,trong,clear and thus presumably clean; translucent or transparent; behind (an enclosed space),clear and thus presumably clean; translucent or transparent; behind (an enclosed space),,298524,count,"adjective, preposition",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,15,https://github.com/tabidots/vn-freqs,trong,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,trong,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,16,với,"at the end of a sentence, indicates a request for inclusion or help; to reach (out for something); a stretch of the hand (một với)","at the end of a sentence, indicates a request for inclusion or help; to reach (out for something); a stretch of the hand (một với)",,290398,count,"noun, particle, preposition, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,16,https://github.com/tabidots/vn-freqs,với,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,với,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,17,này,"prefixes someone's name or kinship title, used to call for their attention; suffixes someone's name or kinship title, usually functions both as a focus marker and signaling a question; here","prefixes someone's name or kinship title, used to call for their attention; suffixes someone's name or kinship title, usually functions both as a focus marker and signaling a question; here",,281520,count,"adverb, determiner, particle",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,17,https://github.com/tabidots/vn-freqs,này,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,này,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,18,đi,"at the end of a sentence, conveys an urging or commanding tone; to go; to leave; to set out; to go by; to board; to get on","at the end of a sentence, conveys an urging or commanding tone; to go; to leave; to set out; to go by; to board; to get on",,278720,count,"adverb, particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,18,https://github.com/tabidots/vn-freqs,đi,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,đi,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,19,phải,"yes (in response to a question containing phải); must, have to, should; to have to endure (something unpleasant); right (side, direction) (in bên phải)","yes (in response to a question containing phải); must, have to, should; to have to endure (something unpleasant); right (side, direction) (in bên phải)",,265570,count,"adjective, particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,19,https://github.com/tabidots/vn-freqs,phải,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,phải,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,20,gì,what; whatever; anything; An interrogative expression nearly equivalent to “What?”,what; whatever; anything; An interrogative expression nearly equivalent to “What?”,,249351,count,"interjection, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,20,https://github.com/tabidots/vn-freqs,gì,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,gì,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,21,những,Emphasizes the quantity of noun: as many as; as much as; Emphasizes the abundance and uncountability of something: nothing but; Emphasizes the overwhelming nature of a psychological or emotional state,Emphasizes the quantity of noun: as many as; as much as; Emphasizes the abundance and uncountability of something: nothing but; Emphasizes the overwhelming nature of a psychological or emotional state,,242685,count,"determiner, particle",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,21,https://github.com/tabidots/vn-freqs,những,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,những,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,22,ở,"to be, to live, to stay, to remain","to be, to live, to stay, to remain",,239656,count,"preposition, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,22,https://github.com/tabidots/vn-freqs,ở,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,ở,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,23,để,"in order to, so that, for, to; Indicating that what follows is a natural and undesirable consequence of what was just mentioned: wind up; to place; to set; to let; to leave (alone)","in order to, so that, for, to; Indicating that what follows is a natural and undesirable consequence of what was just mentioned: wind up; to place; to set; to let; to leave (alone)",,227892,count,"conjunction, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,23,https://github.com/tabidots/vn-freqs,để,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,để,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,24,cô,"I/me, your paternal aunt; I/me, a woman who's (presumably) slightly younger than either of your parents; you, my paternal aunt; you, a woman who's (presumably) slightly younger than either of my parents","I/me, your paternal aunt; I/me, a woman who's (presumably) slightly younger than either of your parents; you, my paternal aunt; you, a woman who's (presumably) slightly younger than either of my parents",,225925,count,"noun, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,24,https://github.com/tabidots/vn-freqs,cô,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,cô,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,25,làm,to do; to make; to act; to work,to do; to make; to act; to work,,215436,count,"preposition, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,25,https://github.com/tabidots/vn-freqs,làm,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,làm,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,26,rồi,"already; to finish; then; afterwards; last (week, year, etc.); that just passed","already; to finish; then; afterwards; last (week, year, etc.); that just passed",,209187,count,"adjective, adverb, interjection, particle, verb",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,26,https://github.com/tabidots/vn-freqs,rồi,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,rồi,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
vi,27,ta,"we; us; final particle used to reinforce a question, to express surprise, or to indicate familiarity with whom the person is speaking with; I/me; ""our"", Vietnamese, as opposed to Tây (“Western”), Tàu (“Chinese”) or Xiêm (“Siamese”)","we; us; final particle used to reinforce a question, to express surprise, or to indicate familiarity with whom the person is speaking with; I/me; ""our"", Vietnamese, as opposed to Tây (“Western”), Tàu (“Chinese”) or Xiêm (“Siamese”)",,208634,count,"adjective, particle, pronoun",,,https://github.com/tabidots/vn-freqs,vn_freqs_mixed,estimated,500,segmented_word,27,https://github.com/tabidots/vn-freqs,ta,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/,ta,source_dictionary_gloss,https://kaikki.org/dictionary/Vietnamese/
