language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
yue,1,係,(Cantonese) to be; to connect; to relate to; to tie up,(Cantonese) to be; to connect; to relate to; to tie up,,3815,count,d | v,,hai6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,係,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,係,source_dictionary_gloss,https://cc-canto.org/
yue,2,啊,"modal particle ending sentence, showing affirmation; approval; surprise; appreciation","modal particle ending sentence, showing affirmation; approval; surprise; appreciation",,3504,count,e | u | y | y1,,aa3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,啊,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,啊,source_dictionary_gloss,https://cc-canto.org/
yue,3,我,I; me; my; us,I; me; my; us,,2434,count,r,,ngo5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,我,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,我,source_dictionary_gloss,https://cc-canto.org/
yue,4,噉,like this; such; in this way; like,like this; such; in this way; like,,2305,count,c | d | e | r | u | y,,gam2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,噉,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,噉,source_dictionary_gloss,https://cc-canto.org/
yue,5,你,"you (informal, as opposed to courteous 您nín [您]); can be used to refer to an unspecified person","you (informal, as opposed to courteous 您nín [您]); can be used to refer to an unspecified person",,2209,count,r,,nei5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,你,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,你,source_dictionary_gloss,https://cc-canto.org/
yue,6,呢,"(determiner) 1. this; 2. these; (slang) level; particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")","(determiner) 1. this; 2. these; (slang) level; particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")",,2065,count,c | n1 | y | y1,,ne1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,呢,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,呢,source_dictionary_gloss,https://cc-canto.org/
yue,7,佢,it (Cantonese); he; she; Mandarin equivalent: 他tā [他],it (Cantonese); he; she; Mandarin equivalent: 他tā [他],,1972,count,r,,keoi5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,佢,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,佢,source_dictionary_gloss,https://cc-canto.org/
yue,8,都,all; both; entirely; (used for emphasis) even,all; both; entirely; (used for emphasis) even,,1928,count,d,,dou1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,都,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,都,source_dictionary_gloss,https://cc-canto.org/
yue,9,唔,(Cantonese) not; oh (expression of agreement or surprise); to hold in mouth; to bite,(Cantonese) not; oh (expression of agreement or surprise); to hold in mouth; to bite,,1730,count,d | e | l1 | m | r,,m4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,唔,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,唔,source_dictionary_gloss,https://cc-canto.org/
yue,10,好,good; well; proper; good to,good; well; proper; good to,,1565,count,Ag | Mg | a | d | g2 | v | vu,,hou2 | hou3,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,500,segmented_word,,https://github.com/fcbond/hkcancor,好,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,好,source_dictionary_gloss,https://cc-canto.org/
